run_id,model,parameters,preprocessing,feature_groups,fold_scores,cv_rmse,cv_std,duration_seconds,status,error
20260823T101022Z,random_forest,"{""max_depth"": 15, ""max_features"": 0.7, ""min_samples_leaf"": 1, ""n_estimators"": 300, ""n_jobs"": -1}",tree,"[""all""]","[0.1441144843704321, 0.12661173929841762, 0.17210876887683646, 0.13846372927534403, 0.12009594444448642]",0.1402789332531033,0.0180293653883443,3.3870316249995085,success,
20260823T101022Z,random_forest,"{""max_depth"": 15, ""max_features"": 0.7, ""min_samples_leaf"": 3, ""n_estimators"": 300, ""n_jobs"": -1}",tree,"[""all""]","[0.14574972214410775, 0.12622390168484, 0.1704506676917194, 0.1388198104059792, 0.11981213206877944]",0.1402112467990851,0.0176567442379989,2.678589582999848,success,
20260823T101022Z,random_forest,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 1, ""n_estimators"": 300, ""n_jobs"": -1}",tree,"[""all""]","[0.14438080531993927, 0.1258389212869936, 0.17370483356728086, 0.139044774801659, 0.1206963910259033]",0.1407331452003552,0.0185827752316258,3.5176515839993954,success,
20260823T101022Z,random_forest,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 3, ""n_estimators"": 300, ""n_jobs"": -1}",tree,"[""all""]","[0.1461056008347122, 0.12679052960531373, 0.17086683601211042, 0.1385906700804403, 0.12037196843956392]",0.1405451209944281,0.0176084643528404,2.533717582999998,success,
20260823T101022Z,xgboost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 700, ""subsample"": 0.8}",boosting,"[""all""]",[],,,0.0006387089997588,failed,ImportError: Install xgboost to enable model 'xgboost'.
20260823T101022Z,xgboost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 5, ""n_estimators"": 700, ""subsample"": 0.8}",boosting,"[""all""]",[],,,0.0005640839999614,failed,ImportError: Install xgboost to enable model 'xgboost'.
20260823T101022Z,lightgbm,"{""learning_rate"": 0.03, ""max_depth"": -1, ""n_estimators"": 700, ""num_leaves"": 15}",boosting,"[""all""]","[0.13440732672807287, 0.11797307620831407, 0.16098208910354092, 0.12701588443412898, 0.10858882397182358]",0.1297934400891761,0.017838673379122,7.154338583999561,success,
20260823T101022Z,lightgbm,"{""learning_rate"": 0.03, ""max_depth"": -1, ""n_estimators"": 700, ""num_leaves"": 31}",boosting,"[""all""]","[0.1389922645726278, 0.12437255917721586, 0.16478517916147548, 0.1284369496181315, 0.10909689357708442]",0.133136769221307,0.0185079657474251,13.359624917000474,success,
20260823T101022Z,catboost,"{""depth"": 4, ""iterations"": 700, ""l2_leaf_reg"": 3, ""learning_rate"": 0.03, ""verbose"": false}",boosting,"[""all""]","[0.12824279885022033, 0.10620332222229138, 0.16098255360824296, 0.12344385076318216, 0.10990311383190317]",0.125755127855168,0.0194219540008905,3.377202250000664,success,
20260823T101022Z,catboost,"{""depth"": 6, ""iterations"": 700, ""l2_leaf_reg"": 3, ""learning_rate"": 0.03, ""verbose"": false}",boosting,"[""all""]","[0.12805093296686132, 0.10911628924442618, 0.15702700326763605, 0.12267714848536164, 0.10493096991688677]",0.1243604687762343,0.018403510558289,5.2423991249997925,success,
20260823T101022Z,dnn,"{""activation"": ""relu"", ""batch_norm"": true, ""batch_size"": 64, ""device"": ""cpu"", ""dropout"": 0.2, ""epochs"": 100, ""hidden_sizes"": [128, 64], ""learning_rate"": 0.001, ""loss"": ""mse"", ""optimizer"": ""adam"", ""scheduler"": ""cosine""}",dnn,"[""all""]","[0.13931963112371523, 0.13591847138476623, 0.22171805654009696, 0.1261708926521077, 0.10911072872094038]",0.1464475560843253,0.0390704464658993,8.053599083000336,success,
20260823T101022Z,dnn,"{""activation"": ""relu"", ""batch_norm"": true, ""batch_size"": 64, ""device"": ""cpu"", ""dropout"": 0.2, ""epochs"": 100, ""hidden_sizes"": [256, 128, 64], ""learning_rate"": 0.001, ""loss"": ""mse"", ""optimizer"": ""adam"", ""scheduler"": ""cosine""}",dnn,"[""all""]","[0.14159715046670698, 0.1342813249818326, 0.21064189073546935, 0.13124010208807327, 0.10564940219072072]",0.1446819740925606,0.0351358103208789,9.926546749999943,success,
20260823T101458Z,linear_regression,{},linear,"[""all""]","[0.15010259835762008, 0.11785293167578319, 0.21138732593686407, 0.14766500798899043, 0.19062473462542032]",0.1635265197169356,0.0332951524602537,0.348148625000249,success,
20260823T101458Z,ridge,"{""alpha"": 1.0}",linear,"[""all""]","[0.12942399057001536, 0.1207146782292434, 0.19579271702134562, 0.1251645563861985, 0.1085552832968599]",0.1359302451007325,0.0307332033961549,0.1328849159999663,success,
20260823T101458Z,ridge,"{""alpha"": 10.0}",linear,"[""all""]","[0.13129218522436611, 0.1173865862679686, 0.19492867631904262, 0.12321216486274829, 0.10249859038665904]",0.1338636406121569,0.0319507890351528,0.1417977090004569,success,
20260823T101458Z,ridge,"{""alpha"": 30.0}",linear,"[""all""]","[0.13174906480334386, 0.11506184725153772, 0.2016788437919976, 0.12237374147588755, 0.1021701661820057]",0.1346067327009545,0.0349016154958587,0.1159822919998987,success,
20260823T101458Z,lasso,"{""alpha"": 0.0005, ""max_iter"": 10000}",linear,"[""all""]","[0.1271886081676675, 0.11648036641830321, 0.20330947472618935, 0.11782077501237925, 0.10084638544879743]",0.1331291219546673,0.0360950778985482,0.6185552080005436,success,
20260823T101458Z,lasso,"{""alpha"": 0.001, ""max_iter"": 10000}",linear,"[""all""]","[0.13262943492709323, 0.11437702728264201, 0.20803818797630133, 0.1182210034920723, 0.10436788628423982]",0.1355267079924697,0.037373727385127,0.3157984999998007,success,
20260823T101458Z,elastic_net,"{""alpha"": 0.0005, ""l1_ratio"": 0.3, ""max_iter"": 10000}",linear,"[""all""]","[0.12579326846240943, 0.11764075676078314, 0.19642752747436745, 0.12181269117767338, 0.10288340091098283]",0.1329115289572432,0.0326895116439375,1.3340892500000336,success,
20260823T101458Z,elastic_net,"{""alpha"": 0.0005, ""l1_ratio"": 0.7, ""max_iter"": 10000}",linear,"[""all""]","[0.12472340640294687, 0.11657096302432696, 0.20012373207120127, 0.11884305340631983, 0.10039382246631792]",0.1321309954742225,0.0349394240667198,0.7888965410002129,success,
20260823T101458Z,knn,"{""n_neighbors"": 5, ""p"": 2, ""weights"": ""distance""}",knn,"[""all""]","[0.17108274558329667, 0.17368312094332025, 0.17327100939364642, 0.17079719470762358, 0.1440637939646399]",0.1665795729185053,0.0113160321327398,0.2198245840008894,success,
20260823T101458Z,knn,"{""n_neighbors"": 10, ""p"": 2, ""weights"": ""distance""}",knn,"[""all""]","[0.1717257203344062, 0.15467397899473764, 0.1641002631965715, 0.1708970469595482, 0.1352567558376583]",0.1593307530645843,0.0135011516709012,0.1501196250010252,success,
